epoch,train_loss,train_acc,val_loss,val_acc
1,1.8335701788711547,0.36368,1.4687054368972778,0.4732
2,1.3598269902420044,0.51596,1.1902027542114257,0.5753
3,1.2107976510620118,0.5714,1.0978555168151856,0.6175
4,1.124807834148407,0.60394,1.0096737141609191,0.6505
5,1.0598328855514527,0.62588,0.9964130756378173,0.6506
6,0.9840056348800659,0.65666,0.8908371145248413,0.6945
7,0.9534591017913818,0.66652,0.8925426653862,0.6909
8,0.9323047039794922,0.676,0.8592337463378906,0.7067
9,0.9169656082344055,0.68398,0.8666227916717529,0.705
10,0.9013675691223144,0.6862,0.8419339282989502,0.7086
