epoch,train_loss,train_acc,val_loss,val_acc
1,4.689601431121826,0.40448,1.5752170497894287,0.5051
2,3.2006312566375734,0.54092,1.2541324087142944,0.5849
3,2.7203725547790527,0.5918,1.2059485683441162,0.6153
4,2.4599687538909913,0.61462,1.0323062034606934,0.6578
5,2.279090875854492,0.6349,1.0598665243148804,0.6579
6,2.0728599338531493,0.6548,0.9498330949783326,0.6858
7,2.0026953030776977,0.66058,0.9407251440048218,0.6913
8,1.9411489541625977,0.66648,0.91877354221344,0.697
9,1.8756541808700562,0.67412,0.9078846839904785,0.7007
10,1.8248334489440918,0.68026,0.8702947136878967,0.7114
