epoch,train_loss,train_acc,val_loss,val_acc
1,1.466195662651062,0.46068,1.2037188076019287,0.5788
2,0.9974941010475159,0.64372,0.9840430278778076,0.6651
3,0.7942055466079712,0.72142,0.800302827167511,0.7273
4,0.6673058752822876,0.7664,0.6881303009033203,0.7666
5,0.585119482126236,0.79638,0.621111424446106,0.7891
6,0.44771912595748903,0.8451,0.4997880807876587,0.8317
7,0.41246733419418335,0.85822,0.44481350398063657,0.8504
8,0.3800824633693695,0.86954,0.5328220870018006,0.8298
9,0.3589741581916809,0.87708,0.4384785460472107,0.8562
10,0.33025040571212766,0.88368,0.5248352509021759,0.8374
