epoch,train_loss,train_acc,val_loss,val_acc
1,1.466195662651062,0.46068,1.2037188076019287,0.5788
2,0.9974941010475159,0.64372,0.9840430278778076,0.6651
3,0.7942055466079712,0.72142,0.800302827167511,0.7273
4,0.6673058752822876,0.7664,0.6881303009033203,0.7666
5,0.585119482126236,0.79638,0.621111424446106,0.7891
6,0.44771912595748903,0.8451,0.4997880807876587,0.8317
7,0.41246733419418335,0.85822,0.44481350398063657,0.8504
8,0.3800824633693695,0.86954,0.5328220870018006,0.8298
9,0.3589741581916809,0.87708,0.4384785460472107,0.8562
10,0.33025040571212766,0.88368,0.5248352509021759,0.8374
11,0.25406483427047727,0.91248,0.35081952505111696,0.8807
12,0.22779934492111206,0.92168,0.36216070041656495,0.8815
13,0.21735598224639893,0.92402,0.35904580240249634,0.8844
14,0.2024130812549591,0.9288,0.37972717628479,0.8791
15,0.1862500253868103,0.93484,0.3574059245109558,0.891
16,0.14117033226966857,0.9519,0.31548695631027224,0.9064
17,0.12335348595619201,0.95772,0.32670614986419677,0.9018
18,0.11925361748456954,0.95872,0.33246957159042356,0.907
19,0.1093561815905571,0.9618,0.33360841760635374,0.906
20,0.10068194831609725,0.96426,0.34784386768341063,0.9061
