epoch,train_loss,train_acc,val_loss,val_acc
1,0.5194593828582764,0.822,0.423322527885437,0.8581
2,0.34738193840026854,0.88086,0.35850626459121704,0.8824
3,0.28802414623260497,0.90144,0.2954572895050049,0.8972
4,0.2604095805358887,0.91146,0.32386177530288696,0.8934
5,0.2426500057220459,0.91784,0.3461786489009857,0.8852
6,0.1442206522798538,0.95114,0.21521231808662414,0.9277
7,0.12309957635879516,0.9578,0.2602725494146347,0.918
8,0.11939644038677216,0.95948,0.22510665912628175,0.9273
9,0.11568958012342453,0.96002,0.24197096016407013,0.924
10,0.10992039590358735,0.96194,0.25010487985610963,0.9201
11,0.05971709275782108,0.9802,0.1870962033033371,0.9471
12,0.04394010728597641,0.98578,0.2017249225616455,0.9423
13,0.04306507117927075,0.98562,0.18575511457920074,0.9444
14,0.04264404128909111,0.98544,0.19986612734794618,0.9429
15,0.039917173161506656,0.98636,0.22756448431015014,0.9396
16,0.022493138328492642,0.99308,0.18358651258945466,0.9504
17,0.015413128136098384,0.99546,0.19110491371154786,0.9487
18,0.012473211748450995,0.99658,0.19130783936977386,0.9504
19,0.014424027256816626,0.99572,0.20119348454475403,0.9492
20,0.015071324246227742,0.99534,0.19970464477539063,0.9484
