run,test_accuracy,delta_vs_baseline
hidden=512-256-128_act=relu_drop=0.3_bn=True_wd=0.0001_l1=0.0_sched=cosine,0.9870,+0.0018
hidden=512-256-128_act=relu_drop=0.1_bn=True_wd=0.0001_l1=0.0_sched=step,0.9860,+0.0008
hidden=512-256-128_act=relu_drop=0.3_bn=True_wd=0.0_l1=0.0_sched=step,0.9857,+0.0005
hidden=512-256-128_act=relu_drop=0.3_bn=True_wd=0.0001_l1=0.0_sched=step,0.9852,+0.0000
hidden=512-256_act=relu_drop=0.3_bn=True_wd=0.0001_l1=0.0_sched=step,0.9852,+0.0000
hidden=512-256-128-64_act=relu_drop=0.3_bn=True_wd=0.0001_l1=0.0_sched=step,0.9851,-0.0001
hidden=1024-512-256_act=relu_drop=0.3_bn=True_wd=0.0001_l1=0.0_sched=step,0.9846,-0.0006
hidden=512-256-128_act=gelu_drop=0.3_bn=True_wd=0.0001_l1=0.0_sched=step,0.9843,-0.0009
hidden=512-256-128_act=relu_drop=0.0_bn=True_wd=0.0001_l1=0.0_sched=step,0.9841,-0.0011
hidden=512-256-128_act=relu_drop=0.3_bn=True_wd=0.0001_l1=0.0_sched=none,0.9840,-0.0012
hidden=512_act=relu_drop=0.3_bn=True_wd=0.0001_l1=0.0_sched=step,0.9840,-0.0012
hidden=512-256-128_act=relu_drop=0.3_bn=False_wd=0.0001_l1=0.0_sched=step,0.9833,-0.0019
hidden=512-256-128_act=relu_drop=0.3_bn=True_wd=0.001_l1=0.0_sched=step,0.9820,-0.0032
hidden=512-256-128_act=relu_drop=0.5_bn=True_wd=0.0001_l1=0.0_sched=step,0.9818,-0.0034
hidden=512-256-128_act=relu_drop=0.3_bn=True_wd=0.0001_l1=0.0001_sched=step,0.9804,-0.0048
hidden=512-256-128_act=relu_drop=0.3_bn=True_wd=0.0_l1=0.0001_sched=step,0.9795,-0.0057
hidden=128-64-32_act=relu_drop=0.3_bn=True_wd=0.0001_l1=0.0_sched=step,0.9786,-0.0066
hidden=512-256-128_act=relu_drop=0.3_bn=True_wd=0.0_l1=0.001_sched=step,0.9687,-0.0165
