experiment,model,condition,accuracy
clean,standard,clean,0.9504
clean,augmix,clean,0.9547
corrupted,standard,fog_s1,0.1264
corrupted,augmix,fog_s1,0.1192
corrupted,standard,fog_s3,0.1233
corrupted,augmix,fog_s3,0.1142
corrupted,standard,fog_s5,0.1128
corrupted,augmix,fog_s5,0.1094
corrupted,standard,brightness_s1,0.1293
corrupted,augmix,brightness_s1,0.1215
corrupted,standard,brightness_s3,0.1256
corrupted,augmix,brightness_s3,0.1185
corrupted,standard,brightness_s5,0.1213
corrupted,augmix,brightness_s5,0.1173
corrupted,standard,contrast_s1,0.1315
corrupted,augmix,contrast_s1,0.1228
corrupted,standard,contrast_s3,0.1218
corrupted,augmix,contrast_s3,0.1208
corrupted,standard,contrast_s5,0.1268
corrupted,augmix,contrast_s5,0.1157
corrupted,standard,gaussian_noise_s1,0.1289
corrupted,augmix,gaussian_noise_s1,0.1203
corrupted,standard,gaussian_noise_s3,0.1305
corrupted,augmix,gaussian_noise_s3,0.1139
corrupted,standard,gaussian_noise_s5,0.1254
corrupted,augmix,gaussian_noise_s5,0.1131
corrupted,standard,shot_noise_s1,0.1304
corrupted,augmix,shot_noise_s1,0.1205
corrupted,standard,shot_noise_s3,0.1298
corrupted,augmix,shot_noise_s3,0.1161
corrupted,standard,shot_noise_s5,0.1262
corrupted,augmix,shot_noise_s5,0.1119
adversarial,standard,pgd_linf,0.0670
adversarial,standard,pgd_l2,0.4666
adversarial,augmix,pgd_linf,0.0724
adversarial,augmix,pgd_l2,0.4554
transferability,teacher_on_teacher_adv,pgd_linf,0.1018
transferability,student_on_teacher_adv,pgd_linf,0.2182
