epoch,train_loss,train_acc,val_loss,val_acc
1,1.9518845455169678,0.20986,1.734641311264038,0.2992
2,1.4604903713226318,0.40878,1.178973713684082,0.5126
3,1.0986817252731322,0.60294,0.8701407411575317,0.7065
4,0.8700328412246704,0.71216,0.8012980162620544,0.7438
5,0.74562586145401,0.7667,0.732895143699646,0.7777
6,0.5583777560806275,0.82278,0.5690687419414521,0.8157
7,0.4986510012435913,0.83976,0.5373606564998626,0.828
8,0.4685614576911926,0.84998,0.5387207768440246,0.8364
9,0.4350857834243774,0.8622,0.4970048691749573,0.8476
10,0.4055140051269531,0.87136,0.47177911171913145,0.8557
